a,id,CountyName,State,rate
1,01001,Autauga County,AL,0.0001252930963503911
2,01003,Baldwin County,AL,8.063287850417052e-05
3,01005,Barbour County,AL,0.0
4,01007,Bibb County,AL,8.930963650977941e-05
5,01009,Blount County,AL,8.646629543803826e-05
6,01011,Bullock County,AL,0.000198000198000198
7,01013,Butler County,AL,5.141916906622789e-05
8,01015,Calhoun County,AL,7.92218652348048e-05
9,01017,Chambers County,AL,0.0010825765321465087
10,01019,Cherokee County,AL,7.634753397465261e-05
11,01021,Chilton County,AL,0.00022508328081390113
12,01023,Choctaw County,AL,0.0001588688537612201
13,01025,Clarke County,AL,0.0
14,01027,Clay County,AL,0.0001511144692104269
15,01029,Cleburne County,AL,0.00033534540576794097
16,01031,Coffee County,AL,0.0
17,01033,Colbert County,AL,7.240998533697798e-05
18,01035,Conecuh County,AL,0.0
19,01037,Coosa County,AL,0.00037512895057676077
20,01039,Covington County,AL,5.398256363194688e-05
21,01041,Crenshaw County,AL,7.261109497531223e-05
22,01043,Cullman County,AL,9.550186228631458e-05
23,01045,Dale County,AL,0.0
24,01047,Dallas County,AL,5.3769222497042695e-05
25,01049,DeKalb County,AL,5.593388614657475e-05
26,01051,Elmore County,AL,0.00014776687312982551
27,01053,Escambia County,AL,2.729779160865886e-05
28,01055,Etowah County,AL,5.866937849571713e-05
29,01057,Fayette County,AL,6.13421666053245e-05
30,01059,Franklin County,AL,9.565716472163765e-05
31,01061,Geneva County,AL,0.0
32,01063,Greene County,AL,0.0003698680803846628
33,01065,Hale County,AL,6.825472663981981e-05
34,01067,Henry County,AL,0.0
35,01069,Houston County,AL,7.555580740824691e-05
36,01071,Jackson County,AL,0.00013559059388680122
37,01073,Jefferson County,AL,0.000390237680560849
38,01075,Lamar County,AL,7.243752263672582e-05
39,01077,Lauderdale County,AL,0.00012940935413948172
40,01079,Lawrence County,AL,9.111894059045073e-05
41,01081,Lee County,AL,0.00044973319881853874
42,01083,Limestone County,AL,0.0002021938027599454
43,01085,Lowndes County,AL,0.00010281719103434094
44,01087,Macon County,AL,5.534646889528448e-05
45,01089,Madison County,AL,0.0002574354601256607
46,01091,Marengo County,AL,0.00021205534644542227
47,01093,Marion County,AL,0.0003029385034837928
48,01095,Marshall County,AL,6.2000124000248e-05
49,01097,Mobile County,AL,0.00010890346313012753
50,01099,Monroe County,AL,4.82322866927121e-05
51,01101,Montgomery County,AL,0.00012804323446040814
52,01103,Morgan County,AL,0.00015875801101279257
53,01105,Perry County,AL,0.0
54,01107,Pickens County,AL,0.00015052684395383843
55,01109,Pike County,AL,0.0001207948299812768
56,01111,Randolph County,AL,8.802042073761112e-05
57,01113,Russell County,AL,1.725298045237315e-05
58,01115,St. Clair County,AL,0.00015640361068906963
59,01117,Shelby County,AL,0.0003950354153843327
60,01119,Sumter County,AL,8.04699444757383e-05
61,01121,Talladega County,AL,7.50206306734352e-05
62,01123,Tallapoosa County,AL,0.00029727252458691504
63,01125,Tuscaloosa County,AL,0.00013374411884120273
64,01127,Walker County,AL,0.00048802758142976337
65,01129,Washington County,AL,0.00018375597206909226
66,01131,Wilcox County,AL,0.00019280825219319386
67,01133,Winston County,AL,8.464175377713826e-05
69,02013,Aleutians East Borough,AK,0.0
70,02016,Aleutians West Census Area,AK,0.0
71,02020,Municipality of Anchorage,AK,0.00021180555555555555
72,02050,Bethel Census Area,AK,0.0
73,02060,Bristol Bay Borough,AK,0.0
74,02068,Denali Borough,AK,0.0
75,02070,Dillingham Census Area,AK,0.0
76,02090,Fairbanks North Star Borough,AK,0.0003097605550909147
77,02100,Haines Borough,AK,0.0
78,02105,Hoonah-Angoon Census Area,AK,0.0
79,02110,City and Borough of Juneau,AK,0.0001563770563582911
80,02122,Kenai Peninsula Borough,AK,0.00011923417592150984
81,02130,Ketchikan Gateway Borough,AK,0.0009351845190993454
82,02150,Kodiak Island Borough,AK,0.0
83,02158,Kusilvak Census Area,AK,0.0
84,02164,Lake and Peninsula Borough,AK,0.0
85,02170,Matanuska-Susitna Borough,AK,2.769648346981545e-05
86,02180,Nome Census Area,AK,0.0
87,02185,North Slope Borough,AK,0.0
88,02188,Northwest Arctic Borough,AK,0.0
89,02195,Petersburg Census Area,AK,0.0
90,02198,Prince of Wales-Hyder Census Area,AK,0.0
91,02220,Sitka City and Borough,AK,0.0
92,02230,Skagway Municipality,AK,0.0
93,02240,Southeast Fairbanks Census Area,AK,0.0
94,02261,Valdez-Cordova Census Area,AK,0.0
95,02270,Wade Hampton Census Area,AK,0.0
96,02275,Wrangell City and Borough,AK,0.0
97,02282,Yakutat City and Borough,AK,0.0
98,02290,Yukon-Koyukuk Census Area,AK,0.0
100,04001,Apache County,AZ,0.0002225715358827048
101,04003,Cochise County,AZ,3.1765696224647004e-05
102,04005,Coconino County,AZ,0.0004948562825838467
103,04007,Gila County,AZ,1.851234773593987e-05
104,04009,Graham County,AZ,5.149728351829441e-05
105,04011,Greenlee County,AZ,0.0001052853232259423
106,04012,La Paz County,AZ,9.475080538184574e-05
107,04013,Maricopa County,AZ,0.00015383195397347937
108,04015,Mohave County,AZ,3.2990701335180815e-05
109,04017,Navajo County,AZ,0.0007933359777865926
110,04019,Pima County,AZ,0.00017855795829000676
111,04021,Pinal County,AZ,0.00013397034069521964
112,04023,Santa Cruz County,AZ,4.301260269258893e-05
113,04025,Yavapai County,AZ,6.380290856192498e-05
114,04027,Yuma County,AZ,2.806531734857592e-05
116,05001,Arkansas County,AR,5.7188608029280565e-05
117,05003,Ashley County,AR,5.087246273592104e-05
118,05005,Baxter County,AR,4.769627015167414e-05
119,05007,Benton County,AR,0.00013613191899434335
120,05009,Boone County,AR,2.6715110066253472e-05
121,05011,Bradley County,AR,9.2910898448388e-05
122,05013,Calhoun County,AR,0.0
123,05015,Carroll County,AR,0.0
124,05017,Chicot County,AR,0.000197667523225934
125,05019,Clark County,AR,0.001075268817204301
126,05021,Clay County,AR,0.0
127,05023,Cleburne County,AR,0.002327541233596854
128,05025,Cleveland County,AR,0.0005027652086475615
129,05027,Columbia County,AR,4.263119751033807e-05
130,05029,Conway County,AR,9.594166746618056e-05
131,05031,Craighead County,AR,7.250842910488344e-05
132,05033,Crawford County,AR,3.161705423905655e-05
