a,id,CountyName,State,rate
1,01001,Autauga County,AL,0.01793481179187027
2,01003,Baldwin County,AL,0.013564242006146017
3,01005,Barbour County,AL,0.023697642388398284
4,01007,Bibb County,AL,0.015718496025721174
5,01009,Blount County,AL,0.012641372393041193
6,01011,Bullock County,AL,0.043065043065043065
7,01013,Butler County,AL,0.03841011929247223
8,01015,Calhoun County,AL,0.011760045772633248
9,01017,Chambers County,AL,0.02550069164611776
10,01019,Cherokee County,AL,0.008932661475034357
11,01021,Chilton County,AL,0.015440713063833619
12,01023,Choctaw County,AL,0.021447295257764714
13,01025,Clarke County,AL,0.020616374566082465
14,01027,Clay County,AL,0.014582546278806195
15,01029,Cleburne County,AL,0.007377598926894702
16,01031,Coffee County,AL,0.013316266096060524
17,01033,Colbert County,AL,0.018518853749932115
18,01035,Conecuh County,AL,0.030247783210408552
19,01037,Coosa County,AL,0.008815530338553878
20,01039,Covington County,AL,0.020216470080164108
21,01041,Crenshaw County,AL,0.020258495498112112
22,01043,Cullman County,AL,0.013119568331582466
23,01045,Dale County,AL,0.015272919547710078
24,01047,Dallas County,AL,0.03497687923432627
25,01049,DeKalb County,AL,0.02268119083243606
26,01051,Elmore County,AL,0.019308204755630533
27,01053,Escambia County,AL,0.026533453443616413
28,01055,Etowah County,AL,0.018050612117182306
29,01057,Fayette County,AL,0.010428168322905164
30,01059,Franklin County,AL,0.036859894139404374
31,01061,Geneva County,AL,0.007993605115907274
32,01063,Greene County,AL,0.029712735790901244
33,01065,Hale County,AL,0.030509862807999454
34,01067,Henry County,AL,0.014065678581807614
35,01069,Houston County,AL,0.011815039383464612
36,01071,Jackson County,AL,0.014140161933909271
37,01073,Jefferson County,AL,0.016871326337399194
38,01075,Lamar County,AL,0.01405287939152481
39,01077,Lauderdale County,AL,0.010740976393576983
40,01079,Lawrence County,AL,0.008686672336289636
41,01081,Lee County,AL,0.015315238662469156
42,01083,Limestone County,AL,0.011464388616488904
43,01085,Lowndes County,AL,0.05726917540612791
44,01087,Macon County,AL,0.01704671241974762
45,01089,Madison County,AL,0.012721602321209733
46,01091,Marengo County,AL,0.02698404283517998
47,01093,Marion County,AL,0.018075330707866304
48,01095,Marshall County,AL,0.02937772542211751
49,01097,Mobile County,AL,0.01915490912611021
50,01099,Monroe County,AL,0.020257560410939082
51,01101,Montgomery County,AL,0.026690391459074734
52,01103,Morgan County,AL,0.017755830179062324
53,01105,Perry County,AL,0.04841421046733162
54,01107,Pickens County,AL,0.017711991971901656
55,01109,Pike County,AL,0.019357371504499607
56,01111,Randolph County,AL,0.017075961623096558
57,01113,Russell County,AL,0.020151481168371836
58,01115,St. Clair County,AL,0.01317141835731522
59,01117,Shelby County,AL,0.013683843051510781
60,01119,Sumter County,AL,0.028727770177838577
61,01121,Talladega County,AL,0.011803245892620471
62,01123,Tallapoosa County,AL,0.02041271335496817
63,01125,Tuscaloosa County,AL,0.018256072221824175
64,01127,Walker County,AL,0.02274838242470994
65,01129,Washington County,AL,0.01843684919759892
66,01131,Wilcox County,AL,0.03894726694302516
67,01133,Winston County,AL,0.017859410046976172
69,02013,Aleutians East Borough,AK,0.00029967036260113877
70,02016,Aleutians West Census Area,AK,0.0007099751508697196
71,02020,Municipality of Anchorage,AK,0.005472222222222222
72,02050,Bethel Census Area,AK,0.0010333949744370716
73,02060,Bristol Bay Borough,AK,0.0
74,02068,Denali Borough,AK,0.0004768717215069146
75,02070,Dillingham Census Area,AK,0.0
76,02090,Fairbanks North Star Borough,AK,0.003985585808836436
77,02100,Haines Borough,AK,0.0015810276679841897
78,02105,Hoonah-Angoon Census Area,AK,0.002793296089385475
79,02110,City and Borough of Juneau,AK,0.0027209607806342653
80,02122,Kenai Peninsula Borough,AK,0.004973768481297268
81,02130,Ketchikan Gateway Borough,AK,0.0024458672037982877
82,02150,Kodiak Island Borough,AK,0.0004616094783812894
83,02158,Kusilvak Census Area,AK,0.0004811161895597787
84,02164,Lake and Peninsula Borough,AK,0.0037688442211055275
85,02170,Matanuska-Susitna Borough,AK,0.002391129739560734
86,02180,Nome Census Area,AK,0.0016993202718912435
87,02185,North Slope Borough,AK,0.0013222131814483319
88,02188,Northwest Arctic Borough,AK,0.0036740585225036085
89,02195,Petersburg Census Area,AK,0.001837109614206981
90,02198,Prince of Wales-Hyder Census Area,AK,0.0008060615831049493
91,02220,Sitka City and Borough,AK,0.002472624514305899
92,02230,Skagway Municipality,AK,0.0
93,02240,Southeast Fairbanks Census Area,AK,0.0020310459886841723
94,02261,Valdez-Cordova Census Area,AK,0.004564225168441643
95,02270,Wade Hampton Census Area,AK,0.0
96,02275,Wrangell City and Borough,AK,0.0019984012789768186
97,02282,Yakutat City and Borough,AK,0.0
98,02290,Yukon-Koyukuk Census Area,AK,0.00803059273422562
100,04001,Apache County,AZ,0.04130093062723441
101,04003,Cochise County,AZ,0.011650069090389289
102,04005,Coconino County,AZ,0.02044244333547074
103,04007,Gila County,AZ,0.01440260653856122
104,04009,Graham County,AZ,0.011200659165229034
105,04011,Greenlee County,AZ,0.005685407454200884
106,04012,La Paz County,AZ,0.022171688459351906
107,04013,Maricopa County,AZ,0.025605663156176888
108,04015,Mohave County,AZ,0.013502622760756146
109,04017,Navajo County,AZ,0.0467166708737514
110,04019,Pima County,AZ,0.015166923045339398
111,04021,Pinal County,AZ,0.01701639408023959
112,04023,Santa Cruz County,AZ,0.05542173856940084
113,04025,Yavapai County,AZ,0.007222489249209907
114,04027,Yuma County,AZ,0.05033514666467091
116,05001,Arkansas County,AR,0.010465515269358345
117,05003,Ashley County,AR,0.010886707025487104
118,05005,Baxter County,AR,0.0014308881045502241
119,05007,Benton County,AR,0.01579130260334383
120,05009,Boone County,AR,0.0037935456294079933
121,05011,Bradley County,AR,0.012450060392083991
122,05013,Calhoun County,AR,0.0023125843129697438
123,05015,Carroll County,AR,0.011663143058491896
124,05017,Chicot County,AR,0.04921921328325756
125,05019,Clark County,AR,0.006810035842293907
126,05021,Clay County,AR,0.00700982750326438
127,05023,Cleburne County,AR,0.007022753722059473
