a,id,CountyName,State,rate
1,1001,Autauga County,AL,272
2,1003,Baldwin County,AL,320
3,1005,Barbour County,AL,197
4,1007,Bibb County,AL,79
5,1009,Blount County,AL,73
6,1011,Bullock County,AL,238
7,1013,Butler County,AL,455
8,1015,Calhoun County,AL,178
9,1017,Chambers County,AL,383
10,1019,Cherokee County,AL,42
11,1021,Chilton County,AL,111
12,1023,Choctaw County,AL,156
13,1025,Clarke County,AL,158
14,1027,Clay County,AL,29
15,1029,Cleburne County,AL,19
16,1031,Coffee County,AL,248
17,1033,Colbert County,AL,212
18,1035,Conecuh County,AL,52
19,1037,Coosa County,AL,40
20,1039,Covington County,AL,88
21,1041,Crenshaw County,AL,88
22,1043,Cullman County,AL,199
23,1045,Dale County,AL,135
24,1047,Dallas County,AL,339
25,1049,DeKalb County,AL,272
26,1051,Elmore County,AL,427
27,1053,Escambia County,AL,88
28,1055,Etowah County,AL,276
29,1057,Fayette County,AL,19
30,1059,Franklin County,AL,625
31,1061,Geneva County,AL,46
32,1063,Greene County,AL,99
33,1065,Hale County,AL,207
34,1067,Henry County,AL,89
35,1069,Houston County,AL,246
36,1071,Jackson County,AL,94
37,1073,Jefferson County,AL,2078
38,1075,Lamar County,AL,29
39,1077,Lauderdale County,AL,188
40,1079,Lawrence County,AL,55
41,1081,Lee County,AL,594
42,1083,Limestone County,AL,135
43,1085,Lowndes County,AL,290
44,1087,Macon County,AL,100
45,1089,Madison County,AL,386
46,1091,Marengo County,AL,187
47,1093,Marion County,AL,126
48,1095,Marshall County,AL,744
49,1097,Mobile County,AL,2461
50,1099,Monroe County,AL,62
51,1101,Montgomery County,AL,2128
52,1103,Morgan County,AL,395
53,1105,Perry County,AL,50
54,1107,Pickens County,AL,124
55,1109,Pike County,AL,250
56,1111,Randolph County,AL,132
57,1113,Russell County,AL,212
58,1115,St. Clair County,AL,141
59,1117,Shelby County,AL,554
60,1119,Sumter County,AL,247
61,1121,Talladega County,AL,134
62,1123,Tallapoosa County,AL,446
63,1125,Tuscaloosa County,AL,936
64,1127,Walker County,AL,460
65,1129,Washington County,AL,79
66,1131,Wilcox County,AL,173
67,1133,Winston County,AL,95
69,2013,Aleutians East Borough,AK,0
70,2016,Aleutians West Census Area,AK,0
71,2020,Municipality of Anchorage,AK,283
72,2050,Bethel Census Area,AK,3
73,2060,Bristol Bay Borough,AK,0
74,2068,Denali Borough,AK,0
75,2070,Dillingham Census Area,AK,0
76,2090,Fairbanks North Star Borough,AK,85
77,2100,Haines Borough,AK,0
78,2105,Hoonah-Angoon Census Area,AK,0
79,2110,City and Borough of Juneau,AK,35
80,2122,Kenai Peninsula Borough,AK,83
81,2130,Ketchikan Gateway Borough,AK,16
82,2150,Kodiak Island Borough,AK,1
83,2158,Kusilvak Census Area,AK,0
84,2164,Lake and Peninsula Borough,AK,0
85,2170,Matanuska-Susitna Borough,AK,37
86,2180,Nome Census Area,AK,3
87,2185,North Slope Borough,AK,1
88,2188,Northwest Arctic Borough,AK,2
89,2195,Petersburg Census Area,AK,4
90,2198,Prince of Wales-Hyder Census Area,AK,2
91,2220,Sitka City and Borough,AK,2
92,2230,Skagway Municipality,AK,0
93,2240,Southeast Fairbanks Census Area,AK,3
94,2261,Valdez-Cordova Census Area,AK,0
95,2270,Wade Hampton Census Area,AK,0
96,2275,Wrangell City and Borough,AK,1
97,2282,Yakutat City and Borough,AK,0
98,2290,Yukon-Koyukuk Census Area,AK,1
100,4001,Apache County,AZ,1732
101,4003,Cochise County,AZ,149
102,4005,Coconino County,AZ,1289
103,4007,Gila County,AZ,46
104,4009,Graham County,AZ,41
105,4011,Greenlee County,AZ,10
106,4012,La Paz County,AZ,183
107,4013,Maricopa County,AZ,14003
108,4015,Mohave County,AZ,512
109,4017,Navajo County,AZ,2229
110,4019,Pima County,AZ,3154
111,4021,Pinal County,AZ,1127
112,4023,Santa Cruz County,AZ,615
113,4025,Yavapai County,AZ,330
114,4027,Yuma County,AZ,2257
116,5001,Arkansas County,AR,7
117,5003,Ashley County,AR,32
118,5005,Baxter County,AR,13
119,5007,Benton County,AR,1011
120,5009,Boone County,AR,7
121,5011,Bradley County,AR,32
122,5013,Calhoun County,AR,0
123,5015,Carroll County,AR,38
124,5017,Chicot County,AR,26
125,5019,Clark County,AR,41
126,5021,Clay County,AR,6
127,5023,Cleburne County,AR,74
128,5025,Cleveland County,AR,19
129,5027,Columbia County,AR,25
130,5029,Conway County,AR,15
131,5031,Craighead County,AR,305
132,5033,Crawford County,AR,42
133,5035,Crittenden County,AR,465
134,5037,Cross County,AR,63
135,5039,Dallas County,AR,3
136,5041,Desha County,AR,20
137,5043,Drew County,AR,21
138,5045,Faulkner County,AR,117
139,5047,Franklin County,AR,5
140,5049,Fulton County,AR,7
141,5051,Garland County,AR,142
142,5053,Grant County,AR,19
143,5055,Greene County,AR,67
144,5057,Hempstead County,AR,30
145,5059,Hot Spring County,AR,34
146,5061,Howard County,AR,33
147,5063,Independence County,AR,36
148,5065,Izard County,AR,17
149,5067,Jackson County,AR,7
150,5069,Jefferson County,AR,554
151,5071,Johnson County,AR,66
152,5073,Lafayette County,AR,10
