a,id,CountyName,State,rate
1,1001,Autauga County,AL,1966
2,1003,Baldwin County,AL,6333
3,1005,Barbour County,AL,968
4,1007,Bibb County,AL,771
5,1009,Blount County,AL,1783
6,1011,Bullock County,AL,631
7,1013,Butler County,AL,988
8,1015,Calhoun County,AL,4003
9,1017,Chambers County,AL,1263
10,1019,Cherokee County,AL,702
11,1021,Chilton County,AL,1767
12,1023,Choctaw County,AL,383
13,1025,Clarke County,AL,1240
14,1027,Clay County,AL,679
15,1029,Cleburne County,AL,504
16,1031,Coffee County,AL,1606
17,1033,Colbert County,AL,1869
18,1035,Conecuh County,AL,550
19,1037,Coosa County,AL,192
20,1039,Covington County,AL,1612
21,1041,Crenshaw County,AL,578
22,1043,Cullman County,AL,2190
23,1045,Dale County,AL,1594
24,1047,Dallas County,AL,1841
25,1049,DeKalb County,AL,3036
26,1051,Elmore County,AL,3045
27,1053,Escambia County,AL,1695
28,1055,Etowah County,AL,3924
29,1057,Fayette County,AL,532
30,1059,Franklin County,AL,1952
31,1061,Geneva County,AL,814
32,1063,Greene County,AL,329
33,1065,Hale County,AL,729
34,1067,Henry County,AL,620
35,1069,Houston County,AL,3582
36,1071,Jackson County,AL,1943
37,1073,Jefferson County,AL,22030
38,1075,Lamar County,AL,441
39,1077,Lauderdale County,AL,1994
40,1079,Lawrence County,AL,772
41,1081,Lee County,AL,6400
42,1083,Limestone County,AL,2638
43,1085,Lowndes County,AL,693
44,1087,Macon County,AL,523
45,1089,Madison County,AL,8818
46,1091,Marengo County,AL,938
47,1093,Marion County,AL,1036
48,1095,Marshall County,AL,4209
49,1097,Mobile County,AL,14160
50,1099,Monroe County,AL,619
51,1101,Montgomery County,AL,9517
52,1103,Morgan County,AL,3846
53,1105,Perry County,AL,576
54,1107,Pickens County,AL,775
55,1109,Pike County,AL,1293
56,1111,Randolph County,AL,774
57,1113,Russell County,AL,1889
58,1115,St. Clair County,AL,2705
59,1117,Shelby County,AL,6906
60,1119,Sumter County,AL,463
61,1121,Talladega County,AL,2495
62,1123,Tallapoosa County,AL,1249
63,1125,Tuscaloosa County,AL,9747
64,1127,Walker County,AL,2615
65,1129,Washington County,AL,614
66,1131,Wilcox County,AL,554
67,1133,Winston County,AL,870
69,2013,Aleutians East Borough,AK,5
70,2016,Aleutians West Census Area,AK,5
71,2020,Municipality of Anchorage,AK,5888
72,2050,Bethel Census Area,AK,229
73,2060,Bristol Bay Borough,AK,0
74,2068,Denali Borough,AK,15
75,2070,Dillingham Census Area,AK,15
76,2090,Fairbanks North Star Borough,AK,1678
77,2100,Haines Borough,AK,5
78,2105,Hoonah-Angoon Census Area,AK,26
79,2110,City and Borough of Juneau,AK,346
80,2122,Kenai Peninsula Borough,AK,545
81,2130,Ketchikan Gateway Borough,AK,56
82,2150,Kodiak Island Borough,AK,46
83,2158,Kusilvak Census Area,AK,24
84,2164,Lake and Peninsula Borough,AK,32
85,2170,Matanuska-Susitna Borough,AK,796
86,2180,Nome Census Area,AK,107
87,2185,North Slope Borough,AK,193
88,2188,Northwest Arctic Borough,AK,195
89,2195,Petersburg Census Area,AK,8
90,2198,Prince of Wales-Hyder Census Area,AK,33
