a,id,CountyName,State,rate
1,1001,Autauga County,AL,2091.3113799514713
2,1003,Baldwin County,AL,6789.448616012465
3,1005,Barbour County,AL,1029.9302322861226
4,1007,Bibb County,AL,851.7629759153544
5,1009,Blount County,AL,1964.5278625640594
6,1011,Bullock County,AL,646.1936040571102
7,1013,Butler County,AL,1020.06963761609
8,1015,Calhoun County,AL,4370.474703931706
9,1017,Chambers County,AL,1379.2195145219941
10,1019,Cherokee County,AL,760.7667843202976
11,1021,Chilton County,AL,1914.8147805872284
12,1023,Choctaw County,AL,397.47820357662306
13,1025,Clarke County,AL,1353.5399100471711
14,1027,Clay County,AL,770.5918346405592
15,1029,Cleburne County,AL,598.9140735576981
16,1031,Coffee County,AL,1818.5833126001887
17,1033,Colbert County,AL,2044.6664849972756
18,1035,Conecuh County,AL,562.572983399556
19,1037,Coosa County,AL,209.86395032022503
20,1039,Covington County,AL,1783.567159918046
21,1041,Crenshaw County,AL,618.7317032784247
22,1043,Cullman County,AL,2469.40506608132
23,1045,Dale County,AL,1725.2692690093381
24,1047,Dallas County,AL,1883.3504295525431
25,1049,DeKalb County,AL,3527.393264134498
26,1051,Elmore County,AL,3274.4688197726045
27,1053,Escambia County,AL,1749.8491328772404
28,1055,Etowah County,AL,4369.362455712606
29,1057,Fayette County,AL,592.0288835591396
30,1059,Franklin County,AL,2080.584009228379
31,1061,Geneva County,AL,919.5816773017486
32,1063,Greene County,AL,350.6726418950996
33,1065,Hale County,AL,778.9418314957543
34,1067,Henry County,AL,676.8987252927509
35,1069,Houston County,AL,3919.612552192865
36,1071,Jackson County,AL,2238.4032302716437
37,1073,Jefferson County,AL,23666.235223960586
38,1075,Lamar County,AL,492.1414262611764
39,1077,Lauderdale County,AL,2261.182951241494
40,1079,Lawrence County,AL,873.3534926827008
41,1081,Lee County,AL,6653.146065246225
42,1083,Limestone County,AL,2944.1191498425515
43,1085,Lowndes County,AL,713.8980702871135
44,1087,Macon County,AL,539.6268487454868
45,1089,Madison County,AL,9477.866051316441
46,1091,Marengo County,AL,1064.408103030739
