a,id,CountyName,State,rate
1,1001,Autauga County,AL,368
2,1003,Baldwin County,AL,383
3,1005,Barbour County,AL,238
4,1007,Bibb County,AL,111
5,1009,Blount County,AL,116
6,1011,Bullock County,AL,307
7,1013,Butler County,AL,544
8,1015,Calhoun County,AL,204
9,1017,Chambers County,AL,475
10,1019,Cherokee County,AL,53
11,1021,Chilton County,AL,141
12,1023,Choctaw County,AL,176
13,1025,Clarke County,AL,192
14,1027,Clay County,AL,30
15,1029,Cleburne County,AL,22
16,1031,Coffee County,AL,294
17,1033,Colbert County,AL,272
18,1035,Conecuh County,AL,102
19,1037,Coosa County,AL,46
20,1039,Covington County,AL,176
21,1041,Crenshaw County,AL,115
22,1043,Cullman County,AL,281
23,1045,Dale County,AL,181
24,1047,Dallas County,AL,507
25,1049,DeKalb County,AL,326
26,1051,Elmore County,AL,560
27,1053,Escambia County,AL,107
28,1055,Etowah County,AL,335
29,1057,Fayette County,AL,48
30,1059,Franklin County,AL,734
31,1061,Geneva County,AL,46
32,1063,Greene County,AL,132
33,1065,Hale County,AL,240
34,1067,Henry County,AL,108
35,1069,Houston County,AL,325
36,1071,Jackson County,AL,125
37,1073,Jefferson County,AL,2571
38,1075,Lamar County,AL,46
39,1077,Lauderdale County,AL,251
40,1079,Lawrence County,AL,66
41,1081,Lee County,AL,726
42,1083,Limestone County,AL,228
43,1085,Lowndes County,AL,397
44,1087,Macon County,AL,127
45,1089,Madison County,AL,587
46,1091,Marengo County,AL,222
47,1093,Marion County,AL,146
48,1095,Marshall County,AL,901
49,1097,Mobile County,AL,2742
50,1099,Monroe County,AL,136
51,1101,Montgomery County,AL,2910
52,1103,Morgan County,AL,644
53,1105,Perry County,AL,75
54,1107,Pickens County,AL,142
55,1109,Pike County,AL,336
56,1111,Randolph County,AL,143
57,1113,Russell County,AL,301
58,1115,St. Clair County,AL,181
59,1117,Shelby County,AL,674
60,1119,Sumter County,AL,264
61,1121,Talladega County,AL,170
62,1123,Tallapoosa County,AL,480
63,1125,Tuscaloosa County,AL,1356
64,1127,Walker County,AL,588
65,1129,Washington County,AL,89
66,1131,Wilcox County,AL,225
67,1133,Winston County,AL,128
69,2013,Aleutians East Borough,AK,0
70,2016,Aleutians West Census Area,AK,0
71,2020,Municipality of Anchorage,AK,320
72,2050,Bethel Census Area,AK,4
73,2060,Bristol Bay Borough,AK,0
74,2068,Denali Borough,AK,0
75,2070,Dillingham Census Area,AK,0
76,2090,Fairbanks North Star Borough,AK,96
77,2100,Haines Borough,AK,1
78,2105,Hoonah-Angoon Census Area,AK,0
79,2110,City and Borough of Juneau,AK,37
80,2122,Kenai Peninsula Borough,AK,109
81,2130,Ketchikan Gateway Borough,AK,19
82,2150,Kodiak Island Borough,AK,2
83,2158,Kusilvak Census Area,AK,0
84,2164,Lake and Peninsula Borough,AK,0
85,2170,Matanuska-Susitna Borough,AK,45
86,2180,Nome Census Area,AK,5
87,2185,North Slope Borough,AK,1
88,2188,Northwest Arctic Borough,AK,4
89,2195,Petersburg Census Area,AK,4
90,2198,Prince of Wales-Hyder Census Area,AK,2
91,2220,Sitka City and Borough,AK,8
92,2230,Skagway Municipality,AK,0
93,2240,Southeast Fairbanks Census Area,AK,3
94,2261,Valdez-Cordova Census Area,AK,0
